type,month,value
total,1,3726807
total,2,4343498
total,3,3551296
total,4,3682434
total,5,3653588
total,6,3466507
total,7,4205796
total,8,4207049
total,9,3412407
total,10,3871244
total,11,3701552
total,12,4188035
ticket,1,2405404
ticket,2,2296257
ticket,3,2436108
ticket,4,2486228
ticket,5,2477679
ticket,6,2328607
ticket,7,2663036
ticket,8,2645829
ticket,9,2325183
ticket,10,2676542
ticket,11,2608324
ticket,12,2871155
one_way,1,1222201
one_way,2,1793938
one_way,3,1058459
one_way,4,1133180
one_way,5,1112566
one_way,6,1083191
one_way,7,1446423
one_way,8,1467855
one_way,9,1041525
one_way,10,1144454
one_way,11,1044543
one_way,12,1224863
